14,MI3080,Giải tích phức và ứng dụng,3,4,0.7
14,MI3090,Cơ sở dữ liệu,3,4,0.7
14,MI3100,Hệ điều hành Unix (Linux),3,4,0.7
14,MI3110,Kiến trúc máy tính và hợp ngữ,3,4,0.7
14,MI3120,Phân tích và thiết kế hệ thống,3,4,0.7
14,MI1037,Toán đại cương III,2,2,0.7
14,MI1137,Bài tập toán đại cương III,1,2,0.7
14,PH1014,Vật lý I,4,6.5,0.5
14,PH1016,Vật lý đại cương I,4,5.5,0.6
14,PH1024,Vật lý II,4,6.5,0.5
14,PH1026,Vật lý đại cương II,4,5.5,0.6
14,PH3010,Phương pháp toán cho vật lý,3,4,0.7
14,PH3020,Cơ giải tích,2,2,0.7
14,PH3030,Trường điện từ,3,3,0.7
14,PH3040,Kỹ thuật xung và số,2,3,0.7
14,PH3060,Cơ học lượng tử,3,4,0.7
14,PH3070,Kỹ thuật chân không,2,2,0.7
14,PH3080,Cảm biến và kỹ thuật đo lường,3,3,0.7
14,PH3090,Quang học kỹ thuật,3,4.5,0.7
15,PH3100,Mô hình hoá,3,4.5,0.7
15,PH3110,Vật lý chất rắn,3,3,0.7
15,PH3120,Vật lý thống kê,3,4,0.7
15,PH3130,Cơ sở vật lý hạt nhân,2,3,0.7
15,PH3140,Tin học ghép nối,3,4.5,0.7
15,PH3150,Thực tập nhận thức,3,6,1
15,PH3160,Kỹ thuật vi xử lý,2,4,0.7
15,PH3180,Cơ sở các phương pháp đo lường Vật lý,2,3.5,0.7
15,PH3190,Vật lý và linh kiện bán dẫn,3,3,0.7
15,PH3200,Quang ĐT và thông tin quang sợi,3,4.5,0.7
15,PH3210,Kỹ thuật bức xạ điện từ,2,3,0.7
15,PH3220,Vật lý bán dẫn,2,4,0.7
15,PH3230,Kỹ thuật hạt nhân & vật lý môi trường,2,4,0.7
15,PH3240,Năng lượng mới đại cương,3,3,0.7
15,PH3250,Mạng máy tính,2,3,0.7
15,PH3260,Tin học vật lý,2,3,0.7
15,PH3270,Các phương pháp phân tích lý hoá,2,3.5,0.7
15,PH3280,Vật lý siêu âm và ứng dụng,3,4.5,0.7
15,PH3290,Vật lý và công nghệ nano,2,3.5,0.7
15,PH3301,Phân tích cấu trúc,3,4.5,0.7
16,PH3310,Kỹ thuật phân tích hạt nhân,2,4,0.7
16,CH3000,Hóa lý 1 (Cấu tạo chất),2,4,0.75
16,CH3001,Hóa lý 1 (máy hoá),2,4,0.75
16,CH3002,Hóa lý (CN sinh học và thực phẩm),3,5.5,0.75
16,CH3004,Hóa lý (vật liệu),2,4,0.75
16,CH3010,Hóa lý 2 (Nhiệt động hóa học),2,4,0.75
16,CH3011,Hóa lý 2 (máy hoá),2,4,0.75
16,CH3020,Hóa lý 3 (Động hóa học và hấp phụ),2,4,0.75
16,CH3030,Hóa lý 4 (Điện hóa học và hóa keo),2,4,0.75
16,CH3100,Hóa vô cơ 1 (KTHH),3,5.5,0.75
16,CH3110,Hóa vô cơ 2 (KTHH),2,4,0.75
16,CH3121,Hóa vô cơ,2,3,0.7
16,CH3122,"Hóa vô cơ (CN môi trường, CNTP và luyện kim)",3,5,0.75
16,CH3201,Hóa hữu cơ,2,3,0.8
16,CH3210,Hóa hữu cơ 2 (KTHH),3,5.5,0.75
16,CH3211,Hóa hữu cơ 2 (CN in),2,4,0.75
16,CH3221,Hóa hữu cơ (máy hoá),3,5.5,0.75
16,CH3222,Hóa hữu cơ (luyện kim),2,3,0.75
16,CH3223,Hóa hữu cơ,3,4.5,0.8
16,CH3224,Hóa hữu cơ (CN môi trường),2,3,0.75
17,CH3225,Hóa hữu cơ,3,4.5,0.75
17,CH3300,Hóa phân tích 1 (KTHH),3,4,0.75
17,CH3301,Hóa phân tích 1 (máy hoá),2,3,0.75
17,CH3302,Hóa phân tích 1 (CN nhuộm),2,3,0.75
17,CH3303,Hóa phân tích 1 (CN Môi trường),2,3,0.75
17,CH3305,Hóa phân tích (CN Vật liệu),2,3,0.75
17,PE2010,Giáo dục thể chất D,0,1.5,0.8
17,ET2010,Kỹ thuật điện tử,3,4.5,0.7
17,FL3041,Kỹ năng viết tiếng Anh I,3,4,0.5
17,FL3042,Kỹ năng viết tiếng Anh II,2,3,0.5
17,MI1117,Bài tập toán đại cương I,1,2,0.7
17,MI2034,Xác suất thống kê,3,4,0.5
17,PH3035,Trường điện từ,2,2,0.7
17,ET2100E,Vật liệu điện tử,3,4.5,0.7
17,BF2010,Hóa sinh thực phẩm,3,3,0.7
17,BF2410,Công nghệ sinh học đại cương,3,4,0.7
17,BF3012,Vi sinh vật thực phẩm,3,3,0.7
17,BF3013,TN Vi sinh vật thực phẩm,2,6,0.7
17,BF3014,Quá trình và thiết bị cơ học,3,4.5,0.7
17,BF3015,Quá trình và thiết bị chuyển khối,3,4.5,0.7
18,BF3016,Quá trình và thiết bị truyền nhiệt,2,3.5,0.7
18,BF3017,Đồ án I – Quá trình và thiết bị,1,2,0.7
18,BF3018,Quản lý chất lượng trong công nghệ thực phẩm,2,2,0.7
18,BF3019,Kỹ thuật đo lường và lý thuyết điều khiển tự động,3,4.5,0.7
18,BF3022,Kỹ thuật xử lý chất thải trong công nghiệp thực phẩm,2,3,0.7
18,BF3032,Dinh dưỡng và an toàn thực phẩm,3,4,0.7
18,BF3111,Vi sinh vật,3,3,0.7
18,BF3112,TN Vi sinh vật,2,6,0.7
18,BF3113,Sinh học tế bào và miễn dịch,4,5.5,0.7
18,BF3114,Sinh thái học môi trường,3,3,0.7
18,BF3115,Di truyền học và sinh học phân tử,3,4,0.7
18,BF3116,Kỹ thuật gen,3,4.5,0.7
18,BF3117,Phương pháp phân tích trong CNSH,2,3.5,0.7
18,BF3121,Quá trình và thiết bị CNSH,2,2,0.7
18,BF4291,Kỹ thuật thực phẩm,3,3,0.7
18,BF4310,Công nghệ thực phẩm đại cương,3,3,0.7
18,BF4313,Phân tích thành phần lý hóa thực phẩm,2,4,0.7
18,CH2010,Cơ sở hóa học vật liệu,3,4.5,0.7
18,CH3041,Hóa lý I,3,4,0.7
18,CH3060,Hóa lý II,3,4,0.7
19,CH3062,TN Hóa lý II,1,3,0.7
19,CH3124,Hóa vô cơ,4,4,0.7
19,CH3131,TN Hóa vô cơ,2,6,0.7
19,CH3220,Hóa hữu cơ,4,5,0.7
19,CH3228,Hóa hữu cơ I,3,3,0.7
19,CH3229,Hóa hữu cơ II,2,2,0.7
19,CH3230,TN Hóa hữu cơ,1,3,0.7
19,CH3231,TN Hóa hữu cơ I,1,3,0.7
19,CH3232,TN Hóa hữu cơ II,1,3,0.7
19,CH3322,Các phương pháp phân tích bằng công cụ,2,3,0.7
19,CH3331,Cơ sở hóa phân tích,3,4,0.7
19,CH3340,TN Hóa phân tích,2,6,0.7
19,CH3341,TN Phân tích bằng công cụ,1,3,0.7
19,CH3403,Quá trình và thiết bị CNHH,4,5,0.7
19,CH3412,Quá trình và thiết bị CNHH II,2,3,0.7
19,CH3431,Quá trình và thiết bị truyền nhiệt-chuyển khối,4,5.5,0.7
19,CH3441,Đồ án quá trình và thiết bị,1,2,0.7
19,CH3454,Phương pháp số trong CNHH,2,3.5,0.7
19,CH3456,Cơ khí ứng dụng,3,4,0.7
19,CH3472,Hóa kỹ thuật đại cương,3,3,0.7
20,CH3480,TN Quá trình và thiết bị I,1,3,1
20,CH3481,Quy hoạch thực nghiệm,2,3,0.7
20,CH3490,TN Quá trình và thiết bị II,1,3,1
20,CH3500,Vật liệu polyme,3,3,0.7
20,CH3640,Kỹ thuật chế bản điện tử,4,5.5,0.7
20,CH3690,Đồ án thiết kế,3,6,0.7
20,CH3700,Vật liệu ceramic,3,3,0.7
20,CH3901,Đồ án nghiên cứu,3,6,0.7
20,CH4091,Hóa học chất tạo màng,3,3,0.7
20,CH4093,Hóa polyme,3,4,0.7
20,CH4095,Kỹ thuật xử lý bề mặt vật liệu,3,3,0.7
20,CH4211,Hóa lý Silicat,3,4,0.7
20,CH4214,Lò silicat,3,4,0.7
20,ED3120,Giáo dục học,2,2,0.7
20,ED3130,Lý luận dạy học,3,4,0.7
20,ED3151,Thực hành nghề cơ bản ngành KTĐT,3,9,0.7
20,ED3152,Thực hành nghề cơ bản ngành KTĐ,3,9,0.7
20,ED3153,Thực hành nghề cơ bản ngành KTCK,3,9,0.7
20,ED3154,Thực hành nghề cơ bản ngành CNTT,3,9,0.7
20,EE3140,Máy điện I,3,4.5,0.7
21,EE3339,Điều khiển và tự động hóa QTSX,3,4,0.7
